@relation InstanceResultListener

@attribute Key_Dataset {is_long_parameters_list}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.LibSVM,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-S -C 0.28 -M 15','-S 1 -K 2 -D 3 -G 1.0E-4 -R 0.0 -N 0.0394 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1','-P 100 -S 1 -I 2 -W weka.classifiers.functions.LibSVM -- -S 0 -K 1 -D 4 -G 0.05 -R 0.6 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1','-P 100 -S 1 -I 2 -W weka.classifiers.functions.SMO -- -C 0.25 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,14172,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

is_long_parameters_list,1,1,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,79,5,0,94.047619,5.952381,0,0.867424,0.080625,0.19976,18.333262,42.763149,76.125089,16.646913,59.478176,0.906251,0.198178,0.708074,62.736533,0.746863,6846.643353,0.929825,53,0.037037,1,0.962963,26,0.070175,4,0.981481,0.929825,0.954955,0.870182,0.977258,0.978953,0.940476,0.047689,0.952311,0.059524,0.944577,0.940476,0.941238,0.870182,0.977258,0.974466,0.933618,0.940476,0.085,0.003,0.078125,0,78.125,0,48354,221972,89672,98.809524,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,1,2,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,75,9,0,89.285714,10.714286,0,0.756757,0.122359,0.270165,27.823331,57.835073,76.125089,26.922759,49.202329,0.906251,0.320509,0.585742,54.76566,0.651972,5976.755853,0.912281,52,0.148148,4,0.851852,23,0.087719,5,0.928571,0.912281,0.920354,0.757033,0.964587,0.971973,0.892857,0.128725,0.871275,0.107143,0.894133,0.892857,0.893357,0.757033,0.964587,0.962375,0.878359,0.892857,0.035,0.001,0.03125,0,31.25,0,48354,221972,89672,98.809524,57.142857,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,1,3,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,77,7,0,91.666667,8.333333,0,0.807339,0.105262,0.265801,23.77185,56.381733,77.143513,31.848923,45.29459,0.918375,0.379154,0.539221,59.086849,0.703415,6469.700146,0.964286,54,0.178571,5,0.821429,23,0.035714,2,0.915254,0.964286,0.93913,0.810106,0.916454,0.923345,0.916667,0.130952,0.869048,0.083333,0.916836,0.916667,0.915395,0.810106,0.916454,0.911912,0.903527,0.916667,0.031,0.001,0.03125,0,31.25,0,48354,221972,89672,95.238095,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,1,4,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,77,7,0,91.666667,8.333333,0,0.807339,0.115576,0.252851,26.101084,53.634761,77.143513,26.208338,50.935175,0.918375,0.312004,0.606371,57.732332,0.68729,6321.38765,0.964286,54,0.178571,5,0.821429,23,0.035714,2,0.915254,0.964286,0.93913,0.810106,0.948661,0.953175,0.916667,0.130952,0.869048,0.083333,0.916836,0.916667,0.915395,0.810106,0.948661,0.941525,0.903527,0.916667,0.035,0.001,0.03125,0,31.25,0,48354,221972,89672,97.619048,58.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,1,5,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,81,3,0,96.428571,3.571429,0,0.918919,0.090283,0.202138,20.389048,42.877508,77.143513,19.220344,57.923169,0.918375,0.228814,0.689562,62.953726,0.749449,6893.102887,0.982143,55,0.071429,2,0.928571,26,0.017857,1,0.964912,0.982143,0.973451,0.919255,0.96014,0.961859,0.964286,0.053571,0.946429,0.035714,0.964263,0.964286,0.964119,0.919255,0.96014,0.955613,0.959453,0.964286,0.024,0,0.015625,0,15.625,0,48354,221972,89672,97.619048,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,2,1,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,79,5,0,94.047619,5.952381,0,0.867424,0.08849,0.202241,20.121719,43.2944,76.125089,17.470669,58.65442,0.906251,0.207984,0.698267,61.645605,0.733876,6727.5868,0.929825,53,0.037037,1,0.962963,26,0.070175,4,0.981481,0.929825,0.954955,0.870182,0.974009,0.976166,0.940476,0.047689,0.952311,0.059524,0.944577,0.940476,0.941238,0.870182,0.974009,0.9694,0.933618,0.940476,0.027,0,0.03125,0,31.25,0,48354,221972,89672,98.809524,56.547619,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,2,2,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,79,5,0,94.047619,5.952381,0,0.859438,0.115863,0.255439,26.346155,54.682624,76.125089,29.05205,47.073039,0.906251,0.345858,0.560393,57.142954,0.680273,6236.197727,0.982456,56,0.148148,4,0.851852,23,0.017544,1,0.933333,0.982456,0.957265,0.862511,0.936322,0.943628,0.940476,0.106168,0.893832,0.059524,0.941369,0.940476,0.939489,0.862511,0.936322,0.931844,0.929613,0.940476,0.025,0,0.015625,0,15.625,0,48354,221972,89672,96.428571,57.738095,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,2,3,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,75,9,0,89.285714,10.714286,0,0.752294,0.120724,0.297507,27.263622,63.107396,77.143513,39.704131,37.439382,0.918375,0.472668,0.445707,55.850267,0.664884,6115.311387,0.946429,53,0.214286,6,0.785714,22,0.053571,3,0.898305,0.946429,0.921739,0.754871,0.899235,0.909313,0.892857,0.160714,0.839286,0.107143,0.892203,0.892857,0.891222,0.754871,0.899235,0.89381,0.875964,0.892857,0.025,0.002,0.03125,0,31.25,0,48354,221972,89672,94.047619,54.761905,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,2,4,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,82,2,0,97.619048,2.380952,0,0.947368,0.057707,0.125194,13.032351,26.556272,77.143513,8.687483,68.45603,0.918375,0.103422,0.814953,68.542659,0.815984,7505.061697,0.964286,54,0,0,1,28,0.035714,2,1,0.964286,0.981818,0.948683,0.998724,0.998768,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.998724,0.997592,0.973668,0.97619,0.026,0,0.015625,0,15.625,0,48354,221972,89672,100,54.761905,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
