@relation InstanceResultListener

@attribute Key_Dataset {is_switch_statements}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-P 100 -I 100 -num-slots 1 -K 7 -M 1.0 -V 0.001 -S 1 -depth 3'}
@attribute Key_Scheme_version_ID {5995231201785697655,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

is_switch_statements,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,57,27,0,67.857143,32.142857,0,0.256881,0.322166,0.55816,76.097559,122.029743,73.830752,1262.583375,-1188.752622,0.878938,15.030754,-14.151817,13.487413,0.160564,1508.788469,0.745763,44,0.48,12,0.52,13,0.254237,15,0.785714,0.745763,0.765217,0.257761,0.764068,0.85881,0.678571,0.412809,0.587191,0.321429,0.690051,0.678571,0.683476,0.257761,0.766792,0.779825,0.627892,0.678571,0.028,0.016,0.03125,0,31.25,0,62089,215927,83627,70.238095,52.380952,?,?
is_switch_statements,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,68,16,0,80.952381,19.047619,0,0.612009,0.192155,0.432819,45.02852,93.622673,74.981286,966.297234,-891.315948,0.892634,11.503539,-10.610904,39.039494,0.464756,4384.038273,0.741379,43,0.038462,1,0.961538,25,0.258621,15,0.977273,0.741379,0.843137,0.650652,0.867374,0.948661,0.809524,0.106606,0.893394,0.190476,0.868236,0.809524,0.816654,0.650652,0.866142,0.853433,0.800357,0.809524,0.015,0.009,0.015625,0.015625,15.625,15.625,62089,215927,83627,82.142857,51.190476,?,?
is_switch_statements,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,71,13,0,84.52381,15.47619,0,0.641732,0.154921,0.373147,36.303415,80.715098,74.981286,321.064095,-246.082809,0.892634,3.822192,-2.929557,45.505936,0.541737,5110.203568,0.87931,51,0.230769,6,0.769231,20,0.12069,7,0.894737,0.87931,0.886957,0.641976,0.913793,0.939807,0.845238,0.196697,0.803303,0.154762,0.847071,0.845238,0.846025,0.641976,0.913177,0.923523,0.820837,0.845238,0.014,0.006,0.015625,0,15.625,0,62089,215927,83627,89.285714,53.571429,?,?
is_switch_statements,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,73,11,0,86.904762,13.095238,0,0.703085,0.135776,0.352294,31.81693,76.204436,74.981286,142.882934,-67.901648,0.892634,1.700987,-0.808353,49.673776,0.591354,5578.241748,0.87931,51,0.153846,4,0.846154,22,0.12069,7,0.927273,0.87931,0.902655,0.705401,0.951592,0.979583,0.869048,0.143583,0.856417,0.130952,0.875071,0.869048,0.870881,0.705401,0.95077,0.943406,0.851327,0.869048,0.013,0.009,0.015625,0,15.625,0,62089,215927,83627,90.47619,54.761905,?,?
is_switch_statements,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,69,15,0,82.142857,17.857143,0,0.625891,0.17108,0.387134,40.090106,83.740714,74.981286,301.115838,-226.134551,0.892634,3.584712,-2.692078,42.565029,0.506727,4779.947074,0.775862,45,0.076923,2,0.923077,24,0.224138,13,0.957447,0.775862,0.857143,0.650864,0.928382,0.958317,0.821429,0.12249,0.87751,0.178571,0.861866,0.821429,0.827664,0.650864,0.92674,0.917685,0.809524,0.821429,0.011,0.005,0.015625,0,15.625,0,62089,215927,83627,88.095238,55.357143,?,?
is_switch_statements,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,74,10,0,88.095238,11.904762,0,0.738155,0.118165,0.330007,27.6902,71.383674,74.981286,360.864919,-285.883632,0.892634,4.296011,-3.403377,52.866635,0.629365,5936.791872,0.862069,50,0.076923,2,0.923077,24,0.137931,8,0.961538,0.862069,0.909091,0.747437,0.956233,0.981778,0.880952,0.095806,0.904194,0.119048,0.896062,0.880952,0.883863,0.747437,0.956336,0.952052,0.868339,0.880952,0.011,0.005,0.015625,0,15.625,0,62089,215927,83627,90.47619,52.97619,?,?
is_switch_statements,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,67,17,0,79.761905,20.238095,0,0.559259,0.207128,0.432749,48.53728,93.607684,74.981286,694.045222,-619.063936,0.892634,8.262443,-7.369809,36.425104,0.433632,4090.448729,0.793103,46,0.192308,5,0.807692,21,0.206897,12,0.901961,0.793103,0.844037,0.568703,0.884615,0.92452,0.797619,0.196823,0.803177,0.202381,0.819752,0.797619,0.803126,0.568703,0.889747,0.889591,0.777951,0.797619,0.011,0.005,0.015625,0,15.625,0,62089,215927,83627,85.714286,56.547619,?,?
is_switch_statements,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,67,17,0,79.761905,20.238095,0,0.541131,0.206855,0.442299,48.473297,95.673325,74.981286,666.378547,-591.397261,0.892634,7.933078,-7.040444,36.277475,0.431875,4073.870344,0.827586,48,0.269231,7,0.730769,19,0.172414,10,0.872727,0.827586,0.849558,0.542914,0.842175,0.891411,0.797619,0.239264,0.760736,0.202381,0.805389,0.797619,0.800452,0.542914,0.840328,0.853361,0.770233,0.797619,0.011,0.007,0,0.015625,0,15.625,62089,215927,83627,82.142857,53.571429,?,?
is_switch_statements,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,70,14,0,83.333333,16.666667,0,0.625954,0.168802,0.393442,39.556184,85.105104,74.981286,289.994948,-215.013661,0.892634,3.452321,-2.559686,43.126586,0.513412,4843.008472,0.844828,49,0.192308,5,0.807692,21,0.155172,9,0.907407,0.844828,0.875,0.62956,0.92374,0.969748,0.833333,0.180813,0.819187,0.166667,0.84321,0.833333,0.83631,0.62956,0.923535,0.916831,0.8125,0.833333,0.008,0.006,0,0.015625,0,15.625,62089,215927,83627,86.904762,53.571429,?,?
is_switch_statements,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,66,18,0,78.571429,21.428571,0,0.530726,0.214643,0.445851,50.699954,97.475844,73.830752,745.333379,-671.502627,0.878938,8.873016,-7.994079,33.699169,0.401181,3769.805087,0.779661,46,0.2,5,0.8,20,0.220339,13,0.901961,0.779661,0.836364,0.54266,0.86678,0.922263,0.785714,0.206053,0.793947,0.214286,0.813895,0.785714,0.7927,0.54266,0.866275,0.862622,0.763009,0.785714,0.008,0.006,0.015625,0,15.625,0,62089,215927,83627,83.333333,55.357143,?,?
is_switch_statements,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,73,11,0,86.904762,13.095238,0,0.709068,0.128777,0.353426,30.176823,76.449382,74.981286,482.509823,-407.528537,0.892634,5.744165,-4.85153,50.73091,0.603939,5696.955196,0.862069,50,0.115385,3,0.884615,23,0.137931,8,0.943396,0.862069,0.900901,0.715351,0.937997,0.970365,0.869048,0.122363,0.877637,0.130952,0.881039,0.869048,0.871842,0.715351,0.937279,0.92845,0.853959,0.869048,0.006,0.006,0,0.015625,0,15.625,62089,215927,83627,89.285714,51.785714,?,?
