@relation InstanceResultListener

@attribute Key_Dataset {data-class}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.JRip,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-F 3 -N 2.0 -O 2 -S 1','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-6589312996832147161,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

data-class,1,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.005577,0.010024,1.254001,2.126471,38.56853,0.34101,38.22752,0.918298,0.008119,0.910179,38.22752,0.910179,4158.914863,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.2,0.002,0.2,0,200,0,41829,246205,59053,100,50,?,3,?,?
data-class,1,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.045635,0.209323,10.261106,44.404047,38.56853,1077.584963,-1039.016433,0.918298,25.656785,-24.738486,34.357995,0.818047,3737.934766,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.982143,0.988095,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.982143,0.969841,0.948148,0.952381,0.125,0.001,0.12,0,120,0,42048,246205,59053,97.619048,51.190476,?,4,?,?
data-class,1,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.02635,0.154336,5.924956,32.73953,38.56853,1074.154269,-1035.585739,0.918298,25.575102,-24.656803,36.246228,0.863005,3943.36275,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.982143,0.988095,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.982143,0.969841,0.973668,0.97619,0.13,0.001,0.12,0,120,0,41897,246205,59053,97.619048,50,?,3,?,?
data-class,1,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.028416,0.155007,6.389403,32.881892,38.56853,1074.286108,-1035.717578,0.918298,25.578241,-24.659942,36.114389,0.859866,3929.019423,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.964286,0.965517,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.964286,0.961138,0.97271,0.97619,0.069,0.001,0.06,0,60,0,41759,246205,59053,97.619048,51.190476,?,3,?,?
data-class,1,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.002635,0.003227,0.592496,0.684604,38.56853,0.159982,38.408548,0.918298,0.003809,0.914489,38.408548,0.914489,4178.609555,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.032,0,0.03,0,30,0,41897,246205,59053,100,50,?,3,?,?
data-class,1,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.002297,0.004489,0.516577,0.952297,38.56853,0.139822,38.428708,0.918298,0.003329,0.914969,38.428708,0.914969,4180.802909,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.034,0.001,0.03,0,30,0,41829,246205,59053,100,50,?,3,?,?
data-class,1,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.016378,0.01802,3.682642,3.822531,38.56853,1.002389,37.566141,0.918298,0.023866,0.894432,37.566141,0.894432,4086.960949,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.036,0.001,0.03,0,30,0,41759,246205,59053,100,50,?,3,?,?
data-class,1,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.05,0.218267,11.242604,46.301444,38.56853,2148.144929,-2109.576399,0.918298,51.146308,-50.22801,34.087535,0.811608,3708.510394,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.928571,0.933333,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.928571,0.92381,0.944297,0.952381,0.038,0.001,0.04,0,40,0,41829,246205,59053,95.238095,50,?,3,?,?
data-class,1,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,38,4,0,90.47619,9.52381,0,0.8,0.099958,0.279203,22.47568,59.227881,38.56853,14.176947,24.391583,0.918298,0.337546,0.580752,29.615175,0.705123,3221.94571,0.857143,24,0,0,1,14,0.142857,4,1,0.857143,0.923077,0.816497,0.984694,0.986175,0.904762,0.047619,0.952381,0.095238,0.925926,0.904762,0.907051,0.816497,0.984694,0.97491,0.899038,0.904762,0.038,0,0.03,0.01,30,10,41760,246205,59053,100,58.333333,?,3,?,?
