@relation InstanceResultListener

@attribute Key_Dataset {feature-envy}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.Bagging,weka.classifiers.functions.LibSVM,weka.classifiers.rules.JRip,weka.classifiers.meta.AdaBoostM1,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-S 1 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.2 -M 40.0 -C 1.0 -E 0.001 -P 100.0 -model C:\\Users\\uazad\\Desktop\\università\\Stage\\Progetto\\OUTLINE -seed 1','-F 3 -N 2.0 -O 2 -S 1','-P 100 -S 1 -I 2 -W weka.classifiers.trees.J48 -- -U -M 2','-R -N 3 -Q 1 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1'}
@attribute Key_Scheme_version_ID {-115879962237199703,14172,-6589312996832147161,-1178107808933117974,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

feature-envy,1,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.032874,0.085301,7.391728,18.094939,38.56853,2.272833,36.295697,0.918298,0.054115,0.864183,36.295697,0.864183,3948.744609,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1.41,0.002,0.296875,0,296.875,0,77105,328240,81952,100,57.142857,?,-1,?,?,?
feature-envy,1,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.892857,0.055272,0.194526,12.428024,41.265066,38.56853,11.351306,27.217224,0.918298,0.270269,0.648029,33.76012,0.803812,3672.889752,0.964286,27,0.071429,1,0.928571,13,0.035714,1,0.964286,0.964286,0.964286,0.892857,0.977041,0.988676,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.977041,0.964135,0.946429,0.952381,1.489,0,0.328125,0,328.125,0,78561,328240,81952,97.619048,54.761905,?,-1,?,?,?
feature-envy,1,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.074903,0.145043,16.842134,30.768124,38.56853,5.359808,33.208722,0.918298,0.127614,0.790684,33.208722,0.790684,3612.901041,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1.513,0.001,0.359375,0,359.375,0,78925,328240,81952,100,64.285714,?,-1,?,?,?
feature-envy,1,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.038148,0.134719,8.577616,28.578093,38.56853,3.579738,34.988792,0.918298,0.085232,0.833066,35.462419,0.844343,3858.089248,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.997449,0.998768,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.997449,0.997592,0.97271,0.97619,1.339,0.001,0.28125,0.015625,281.25,15.625,78561,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,1,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.892857,0.04674,0.148537,10.509522,31.509491,38.56853,4.022999,34.545531,0.918298,0.095786,0.822513,34.463858,0.820568,3749.452063,0.964286,27,0.071429,1,0.928571,13,0.035714,1,0.964286,0.964286,0.964286,0.892857,0.997449,0.998768,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.997449,0.997592,0.946429,0.952381,1.385,0.001,0.265625,0,265.625,0,76013,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,1,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.046297,0.15152,10.409966,32.142274,38.56853,4.159104,34.409426,0.918298,0.099026,0.819272,34.532421,0.822201,3756.911249,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.994898,0.997493,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.994898,0.995352,0.97271,0.97619,1.409,0.001,0.328125,0,328.125,0,78561,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,1,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.027622,0.101239,6.210835,21.475996,38.56853,2.188202,36.380328,0.918298,0.0521,0.866198,36.380328,0.866198,3957.951989,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,1,1,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,1,1,0.97271,0.97619,1.174,0.001,0.3125,0,312.5,0,78197,328240,81952,100,54.761905,?,-1,?,?,?
feature-envy,1,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,37,5,0,88.095238,11.904762,0,0.745763,0.142097,0.320546,31.950788,67.998024,38.56853,31.948647,6.619883,0.918298,0.760682,0.157616,26.049763,0.620232,2834.051116,0.857143,24,0.071429,1,0.928571,13,0.142857,4,0.96,0.857143,0.90566,0.754594,0.910714,0.962079,0.880952,0.095238,0.904762,0.119048,0.894902,0.880952,0.883343,0.754594,0.910714,0.886254,0.872185,0.880952,1.086,0.111,0.234375,0,234.375,0,74193,328240,81952,92.857143,60.714286,?,-1,?,?,?
feature-envy,1,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.054907,0.200331,12.346034,42.496507,38.56853,10.669748,27.898782,0.918298,0.254042,0.664257,33.774568,0.804156,3674.461552,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.975765,0.988095,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.97534,0.960158,0.948148,0.952381,1.269,0.002,0.203125,0,203.125,0,76741,328240,81952,97.619048,54.761905,?,-1,?,?,?
